Anolis ID,Date of Hatch,Notes,Mother,Father,Sex,Age at Death,Egg Weight,Date Egg Found,Date of Previous Egg Check,Developmental Status,Mother population,Father Population,Population
H0001,02/06/2014,,L0132,L0048,Female,1198,0.25,01/08/2014,01/02/2014,Juvenile,L,L,L
H0002,02/06/2014,,X0175,L0016,Male,1345,0.25,01/08/2014,01/02/2014,Juvenile,X,L,XL
H0003,,,L0137,L0018,,,0.22,01/08/2014,01/02/2014,Egg,L,L,L
H0004,,,L0077,X0043,,,0.16,01/08/2014,01/02/2014,Egg,L,X,LX
H0005,02/06/2014,,L0128,L0040,Female,1198,0.25,01/08/2014,01/02/2014,Juvenile,L,L,L
H0006,02/06/2014,,L0062,X0024,Male,1345,0.29,01/08/2014,01/02/2014,Juvenile,L,X,LX
H0007,02/07/2014,,X0269,X0048,Male,1344,0.25,01/08/2014,01/02/2014,Juvenile,X,X,X
H0008,,,X0130,L0029,,,0.18,01/08/2014,01/02/2014,Egg,X,L,XL
H0009,02/05/2014,,X0264,X0020,Male,1151,0.24,01/08/2014,01/02/2014,Juvenile,X,X,X
H0010,02/09/2014,,X0264,X0020,Female,1342,0.24,01/08/2014,01/02/2014,Juvenile,X,X,X
H0011,02/09/2014,,X0128,X0028,Female,1342,0.29,01/08/2014,01/02/2014,Juvenile,X,X,X
H0012,02/07/2014,,L0133,X0011,Female,1197,0.24,01/08/2014,01/02/2014,Juvenile,L,X,LX
H0013,02/10/2014,,X0199,L0001,Female,1194,0.19,01/08/2014,01/02/2014,Juvenile,X,L,XL
H0014,02/07/2014,,L0060,X0039,Female,1197,0.25,01/08/2014,01/02/2014,Juvenile,L,X,LX
H0015,02/17/2014,,L0137,L0018,Male,1187,0.25,01/16/2014,01/08/2014,Juvenile,L,L,L
H0016,02/14/2014,,X0175,L0016,Male,1337,0.27,01/16/2014,01/08/2014,Juvenile,X,L,XL
H0017,02/13/2014,,L0062,X0024,Female,1191,0.26,01/16/2014,01/08/2014,Juvenile,L,X,LX
H0018,02/16/2014,,X0199,L0001,Male,1335,0.18,01/16/2014,01/08/2014,Juvenile,X,L,XL
H0019,02/18/2014,,L0132,L0048,Male,1186,0.24,01/16/2014,01/08/2014,Juvenile,L,L,L
H0020,02/12/2014,,L0132,L0048,Female,1192,0.27,01/16/2014,01/08/2014,Juvenile,L,L,L
H0021,02/17/2014,Missing 6/12/2017,X0187,L0036,Male,1211,0.24,01/16/2014,01/08/2014,Juvenile,X,L,XL
H0022,02/14/2014,,L0060,X0039,Male,1337,0.22,01/16/2014,01/08/2014,Juvenile,L,X,LX
H0023,,,X0128,X0028,,,0.25,01/16/2014,01/08/2014,Egg,X,X,X
H0024,02/21/2014,,X0128,X0028,Female,1330,0.2,01/16/2014,01/08/2014,Juvenile,X,X,X
H0025,,,X0233,X0001,,,0.14,01/22/2014,01/16/2014,Egg,X,X,X
H0026,02/23/2014,,L0132,L0048,Female,1181,0.23,01/22/2014,01/16/2014,Juvenile,L,L,L
H0027,,,L0132,L0048,,,0.14,01/22/2014,01/16/2014,Egg,L,L,L
H0028,02/23/2014,,L0137,L0018,Female,1181,0.24,01/22/2014,01/16/2014,Juvenile,L,L,L
H0029,,,X0232,L0010,,,0.13,01/22/2014,01/16/2014,Egg,X,L,XL
H0030,02/23/2014,,X0199,L0001,Female,1181,0.2,01/22/2014,01/16/2014,Juvenile,X,L,XL
H0031,02/23/2014,,X0264,X0020,Male,1328,0.23,01/22/2014,01/16/2014,Juvenile,X,X,X
H0032,02/28/2014,,L0137,L0018,Female,1176,0.23,01/29/2014,01/22/2014,Juvenile,L,L,L
H0033,03/03/2014,,L0062,X0024,Female,1173,0.24,01/29/2014,01/22/2014,Juvenile,L,X,LX
H0034,,,L0092,X0023,,,0.16,01/29/2014,01/22/2014,Egg,L,X,LX
H0035,03/01/2014,,X0264,X0020,Female,1322,0.26,01/29/2014,01/22/2014,Juvenile,X,X,X
H0036,02/28/2014,,X0199,L0001,Male,1323,0.2,01/29/2014,01/22/2014,Juvenile,X,L,XL
H0037,,,L0093,L0004,,,0.18,01/29/2014,01/22/2014,Egg,L,L,L
H0038,02/27/2014,,X0269,X0048,Female,21,0.25,01/29/2014,01/22/2014,Juvenile,X,X,X
H0039,02/27/2014,,L0128,L0040,Male,59,0.24,01/29/2014,01/22/2014,Juvenile,L,L,L
H0040,02/26/2014,,X0187,L0036,Female,1178,0.26,01/29/2014,01/22/2014,Juvenile,X,L,XL
H0041,03/03/2014,,L0132,L0048,Female,1173,0.21,01/29/2014,01/22/2014,Juvenile,L,L,L
H0042,03/01/2014,,X0128,X0028,Female,1322,0.27,01/29/2014,01/22/2014,Juvenile,X,X,X
H0043,03/01/2014,,X0246,L0012,Male,1322,0.26,01/29/2014,01/22/2014,Juvenile,X,L,XL
H0044,03/09/2014,,X0128,X0028,Female,1314,0.26,02/04/2014,01/29/2014,Juvenile,X,X,X
H0045,03/09/2014,,L0132,L0048,Female,1167,0.24,02/04/2014,01/29/2014,Juvenile,L,L,L
H0046,03/06/2014,,X0264,X0020,Female,1317,0.27,02/04/2014,01/29/2014,Juvenile,X,X,X
H0047,,,X0233,X0001,,,0.13,02/04/2014,01/29/2014,Egg,X,X,X
H0048,03/05/2014,,X0187,L0036,Male,1318,0.28,02/04/2014,01/29/2014,Juvenile,X,L,XL
H0049,,,X0130,L0029,,,0.21,02/04/2014,01/29/2014,Egg,X,L,XL
H0050,03/05/2014,,L0128,L0040,Female,1171,0.25,02/04/2014,01/29/2014,Juvenile,L,L,L
H0051,03/07/2014,,L0137,L0018,Male,1165,0.28,02/04/2014,01/29/2014,Juvenile,L,L,L
H0052,03/09/2014,,X0175,L0016,Female,1167,0.24,02/04/2014,01/29/2014,Juvenile,X,L,XL
H0053,03/14/2014,,X0269,X0048,Female,417,0.29,02/12/2014,02/04/2014,Juvenile,X,X,X
H0054,03/16/2014,,X0269,X0048,Female,505,0.2,02/12/2014,02/04/2014,Juvenile,X,X,X
H0055,03/16/2014,,X0264,X0020,Female,1307,0.2,02/12/2014,02/04/2014,Juvenile,X,X,X
H0056,03/13/2014,,X0264,X0020,Female,1310,0.25,02/12/2014,02/04/2014,Juvenile,X,X,X
H0057,,,X0233,X0001,,,0.16,02/12/2014,02/04/2014,Egg,X,X,X
H0058,,,L0060,X0039,,,0.24,02/12/2014,02/04/2014,Egg,L,X,LX
H0059,03/18/2014,,L0062,X0024,Female,1158,0.2,02/12/2014,02/04/2014,Juvenile,L,X,LX
H0060,,,X0242,L0013,,,0.12,02/12/2014,02/04/2014,Egg,X,L,XL
H0061,03/17/2014,,L0137,L0018,Male,1159,0.21,02/12/2014,02/04/2014,Juvenile,L,L,L
H0062,,,X0199,L0001,,,0.16,02/12/2014,02/04/2014,Egg,X,L,XL
H0063,,,L0093,L0004,,,0.2,02/12/2014,02/04/2014,Egg,L,L,L
H0064,03/16/2014,,L0132,L0048,Female,1160,0.22,02/12/2014,02/04/2014,Juvenile,L,L,L
H0065,03/13/2014,,L0128,L0040,Female,1163,0.21,02/12/2014,02/04/2014,Juvenile,L,L,L
H0066,03/19/2014,,X0187,L0036,Male,680,0.19,02/12/2014,02/04/2014,Juvenile,X,L,XL
H0067,03/16/2014,,X0128,X0028,Female,1307,0.22,02/12/2014,02/04/2014,Juvenile,X,X,X
H0068,,,L0093,L0004,,,0.21,02/18/2014,02/12/2014,Egg,L,L,L
H0069,03/26/2014,,X0128,X0028,Female,1297,0.25,02/18/2014,02/12/2014,Juvenile,X,X,X
H0070,,,X0233,X0001,,,0.16,02/18/2014,02/12/2014,Egg,X,X,X
H0071,,,X0175,L0016,,,0.14,02/18/2014,02/12/2014,Egg,X,L,XL
H0072,,,X0163,L0042,,,0.17,02/18/2014,02/12/2014,Egg,X,L,XL
H0073,,,X0199,L0001,,,0.17,02/18/2014,02/12/2014,Egg,X,L,XL
H0074,03/23/2014,,L0132,L0048,Male,1153,0.22,02/18/2014,02/12/2014,Juvenile,L,L,L
H0075,03/22/2014,,X0264,X0020,Female,1301,0.24,02/18/2014,02/12/2014,Juvenile,X,X,X
H0076,,,X0276,X0012,,,0.16,02/18/2014,02/12/2014,Egg,X,X,X
H0077,,,X0242,L0013,,,0.16,02/18/2014,02/12/2014,Egg,X,L,XL
H0078,,,L0137,L0018,,,0.11,02/25/2014,02/18/2014,Egg,L,L,L
H0079,03/28/2014,,L0137,L0018,Male,1148,0.25,02/25/2014,02/18/2014,Juvenile,L,L,L
H0080,,,X0233,X0001,,,0.14,02/25/2014,02/18/2014,Egg,X,X,X
H0081,03/29/2014,,X0264,X0020,Female,1294,0.21,02/25/2014,02/18/2014,Juvenile,X,X,X
H0082,,,X0199,L0001,,,0.18,02/25/2014,02/18/2014,Egg,X,L,XL
H0083,,,X0232,L0010,,,0.15,02/25/2014,02/18/2014,Egg,X,L,XL
H0084,,,X0276,X0012,,,0.13,02/25/2014,02/18/2014,Egg,X,X,X
H0085,04/01/2014,,X0128,X0028,Male,1291,0.22,02/25/2014,02/18/2014,Juvenile,X,X,X
H0086,,,X0242,L0013,,,0.11,02/25/2014,02/18/2014,Egg,X,L,XL
H0087,03/29/2014,,L0062,X0024,Male,1294,0.19,02/25/2014,02/18/2014,Juvenile,L,X,LX
H0088,03/29/2014,,X0269,X0048,Male,332,0.27,02/25/2014,02/18/2014,Juvenile,X,X,X
H0089,,,X0246,L0012,,,0.13,02/25/2014,02/18/2014,Egg,X,L,XL
H0090,,,X0187,L0036,,,0.12,02/25/2014,02/18/2014,Egg,X,L,XL
H0091,,,X0175,L0016,,,0.17,02/25/2014,02/18/2014,Egg,X,L,XL
H0092,03/29/2014,,L0132,L0048,Female,1147,0.21,02/25/2014,02/18/2014,Juvenile,L,L,L
H0093,03/29/2014,,L0128,L0040,Male,1147,0.25,02/25/2014,02/18/2014,Juvenile,L,L,L
H0094,,,L0093,L0004,,,0.14,02/25/2014,02/18/2014,Egg,L,L,L
H0095,,,X0130,L0029,,,0.14,03/05/2014,02/25/2014,Egg,X,L,XL
H0096,,,X0232,L0010,,,0.12,03/05/2014,02/25/2014,Egg,X,L,XL
H0097,04/05/2014,,X0264,X0020,Female,1287,0.25,03/05/2014,02/25/2014,Juvenile,X,X,X
H0098,,,X0199,L0001,,,0.15,03/05/2014,02/25/2014,Egg,X,L,XL
H0099,,,X0233,X0001,,,0.16,03/05/2014,02/25/2014,Egg,X,X,X
H0100,,,X0276,X0012,,,0.18,03/05/2014,02/25/2014,Egg,X,X,X
H0101,,,X0242,L0013,,,0.12,03/05/2014,02/25/2014,Egg,X,L,XL
H0102,04/08/2014,,X0128,X0028,Female,1284,0.21,03/05/2014,02/25/2014,Juvenile,X,X,X
H0103,04/02/2014,,L0060,X0039,Female,1143,0.28,03/05/2014,02/25/2014,Juvenile,L,X,LX
H0104,,,X0175,L0016,,,0.16,03/05/2014,02/25/2014,Egg,X,L,XL
H0105,04/05/2014,,L0132,L0048,Female,1140,0.23,03/05/2014,02/25/2014,Juvenile,L,L,L
H0106,04/05/2014,,L0128,L0040,Male,1140,0.27,03/05/2014,02/25/2014,Juvenile,L,L,L
H0107,,,X0175,L0016,,,0.2,03/12/2014,03/05/2014,Egg,X,L,XL
H0108,,,X0130,L0029,,,0.15,03/12/2014,03/05/2014,Egg,X,L,XL
H0109,,,X0163,L0042,,,0.15,03/12/2014,03/05/2014,Egg,X,L,XL
H0110,,,X0242,L0013,,,0.19,03/12/2014,03/05/2014,Egg,X,L,XL
H0111,,,X0233,X0001,,,0.15,03/12/2014,03/05/2014,Egg,X,X,X
H0112,,,X0233,X0001,,,0.13,03/12/2014,03/05/2014,Egg,X,X,X
H0113,04/13/2014,,L0132,L0048,Male,1132,0.26,03/12/2014,03/05/2014,Juvenile,L,L,L
H0114,04/09/2014,,L0060,X0039,Male,1136,0.28,03/12/2014,03/05/2014,Juvenile,L,X,LX
H0115,04/12/2014,,X0269,X0048,Male,1280,0.28,03/12/2014,03/05/2014,Juvenile,X,X,X
H0116,04/13/2014,,L0137,L0018,Male,933,0.25,03/12/2014,03/05/2014,Juvenile,L,L,L
H0117,04/12/2014,,X0264,X0020,Female,1280,0.25,03/12/2014,03/05/2014,Juvenile,X,X,X
H0118,04/12/2014,,X0264,X0020,Male,3,0.22,03/12/2014,03/05/2014,Juvenile,X,X,X
H0119,04/12/2014,,X0128,X0028,Female,1280,0.25,03/12/2014,03/05/2014,Juvenile,X,X,X
H0120,04/17/2014,,L0060,X0039,Female,1128,0.28,03/18/2014,03/12/2014,Juvenile,L,X,LX
H0121,,,L0137,L0018,,,0.28,03/18/2014,03/12/2014,Egg,L,L,L
H0122,04/20/2014,,X0269,X0048,Male,1272,0.24,03/18/2014,03/12/2014,Juvenile,X,X,X
H0123,,,X0246,L0012,,,0.23,03/18/2014,03/12/2014,Egg,X,L,XL
H0124,,,X0232,L0010,,,0.19,03/18/2014,03/12/2014,Egg,X,L,XL
H0125,,,X0199,L0001,,,0.21,03/18/2014,03/12/2014,Egg,X,L,XL
H0126,04/20/2014,,X0128,X0028,Female,1272,0.27,03/18/2014,03/12/2014,Juvenile,X,X,X
H0127,,,X0242,L0013,,,0.2,03/18/2014,03/12/2014,Egg,X,L,XL
H0128,04/21/2014,,X0264,X0020,Female,1271,0.23,03/18/2014,03/12/2014,Juvenile,X,X,X
H0129,,,X0130,L0029,,,0.18,03/18/2014,03/12/2014,Egg,X,L,XL
H0130,04/17/2014,,L0128,L0040,Female,1128,0.26,03/18/2014,03/12/2014,Juvenile,L,L,L
H0131,04/20/2014,,L0107,X0053,Female,1125,0.23,03/18/2014,03/12/2014,Juvenile,L,X,LX
H0132,04/25/2014,Missing 7/29/2014,X0128,X0028,Female,95,0.28,03/26/2014,03/18/2014,Juvenile,X,X,X
H0133,04/23/2014,,L0128,L0040,Female,1122,0.31,03/26/2014,03/18/2014,Juvenile,L,L,L
H0134,04/27/2014,,X0264,X0020,Male,1291,0.23,03/26/2014,03/18/2014,Juvenile,X,X,X
H0135,,,X0233,X0001,,,0.21,03/26/2014,03/18/2014,Egg,X,X,X
H0136,,,X0276,X0012,,,0.2,03/26/2014,03/18/2014,Egg,X,X,X
H0137,04/24/2014,,L0137,L0018,Male,1121,0.28,03/26/2014,03/18/2014,Juvenile,L,L,L
H0138,,,L0060,X0039,,,0.24,03/26/2014,03/18/2014,Egg,L,X,LX
H0139,,,X0199,L0001,,,0.18,03/26/2014,03/18/2014,Egg,X,L,XL
H0140,,,X0232,L0010,,,0.18,03/26/2014,03/18/2014,Egg,X,L,XL
H0141,,,X0130,L0029,,,0.17,03/26/2014,03/18/2014,Egg,X,L,XL
