egg_id,cage,parental_island,treatment,hatchling_max_speed,hatch_svl,sprint_svl,egg_mass,hatch_mass,sex,water_loss_g,comments,notes
29,33,Open,Open,0.672043011,18,19,0.1805,0.1495,F,0.0012,,
30,34,Open,Shade,0.291715286,19,19,0.1285,0.1625,F,0.0032,,
31,5,Open,Open,0.431778929,19,19,0.1922,0.1672,F,0.0015,,
32,5,Open,Shade,NA,19,NA,0.2133,0.1954,M,NA,Broke tail after measurement to 20 mm long; Dead 8/17 (hatch data),had question mark next to sex
33,7,Shade,Open,0.303766707,21,21,0.1942,0.204,M,0.0045,,had question mark next to sex
34,39,Shade,Open,0.348675035,17,17,0.1404,0.1436,M,0.0027,,
35,41,Open,Open,0.5,19,18,0.1556,0.167,M,0.0017,,
36,44,Shade,Shade,0.302663438,19,20,0.1831,0.1823,M,0.0012,,
37,52,Shade,Shade,0.28280543,19,19,0.1644,0.1566,F,0.0011,,
38,19,Shade,Open,0.392464678,18,18,0.1456,0.1848,F,0.0008,,
39,20,Shade,Shade,0.563063063,19,20,0.1684,0.181,F,0.0005,,
41,51,Shade,Open,0.354107649,19,19,0.1739,0.1785,F,0.0025,,
42,63,Open,Open,0.483558994,21,19,0.2009,0.1894,F,0.001,,
43,24,Shade,Shade,0.454545455,20,20,0.1802,0.1954,M,0.0011,,
44,64,Open,Shade,0.632911392,19,19,0.1488,0.1492,F,0.0017,,
45,50,Open,Shade,0.561797753,20,20,0.2069,0.2183,M,0.0012,,
46,25,Open,Open,0.357653791,18,18,0.1508,0.1669,M,0.0011,,
47,28,Shade,Shade,0.368731563,19,20,0.1807,0.1701,M,0.0026,,
48,30,Open,Shade,0.393700787,19,20,0.1576,0.1696,M,0.001,,
49,31,Shade,Open,0.249252243,18,16,0.1414,0.1436,M,0.0032,,
50,15,Shade,Open,0.431034483,19,18,0.1872,0.1838,M ,0.0005,,
51,16,Shade,Shade,NA,18,NA,0.1595,0.157,F,NA,,
52,9,Open,Open,0.372578241,19,19,0.1717,0.2117,M,0.0008,,
