Order,Date,X-ray #,AnolisID,Sex,Mass,Meas,SVL,Head Length,Head Width,Pectoral,Pelvic,Humerus,Radius,Ulna,Femur,Tibia,Notes,Set
4,2/11/2014,1,H0001,F,0.27,TW,20.55,6.715,3.537,2.989,1.849,2.518,NA,NA,4.087,3.407,NA,NA
35,3/4/2014,11,H0001,F,0.32,TW,23.49,7.733,4.491,3.565,2.547,2.578,NA,NA,4.322,4.106,NA,NA
162,5/5/2014,47,H0001,F,0.62,TW,26.073,8.033,4.508,3.506,2.403,3.515,NA,2.629,5.492,4.813,NA,NA
364,8/5/2014,107,H0001,F,1.1,TW,33.7,9.68,4.82,4.47,3.05,4.91,4.351,3.844,6.619,6.128,NA,NA
755,11/4/2014,223,H0001,F,1.43,TW,35.244,10.369,6.068,4.996,3.429,4.694,3.512,3.571,7.589,6.636,NA,NA
1246,2/10/2015,355,H0001,F,1.64,CMM,37.623,11.169,5.484,5.256,3.833,6.057,4.649,4.777,7.707,7.627,NA,NA
3470,2/16/2016,953,H0001,F,2.02,CMM,38.904,10.755,5.894,5.787,4.045,6.098,4.628,5.359,8.365,7.654,NA,NA
3,2/11/2014,1,H0002,M,0.24,TW,19.823,7.106,NA,3.476,2.342,3.025,1.812,2.195,4.077,3.462,"AS- Remeasured Pectoral, Humerus, Radius, and Ulna",RM Set 1
36,3/4/2014,11,H0002,M,0.34,TW,22.952,7.546,4.472,3.654,2.759,3.225,NA,NA,4.278,4.32,NA,NA
158,5/5/2014,46,H0002,M,0.59,TW,25.854,8.001,4.656,3.452,2.739,4.02,2.749,2.972,5.83,5.146,NA,NA
366,8/5/2014,107,H0002,M,1.42,TW,36.646,11.115,5.74,NA,3.596,5.595,4.385,4.462,7.861,7.534,NA,NA
752,11/4/2014,222,H0002,M,2.21,TW,41.499,11.864,6.414,5.966,4.206,6.901,5.011,5.137,9.816,8.796,NA,NA
1242,2/10/2015,354,H0002,M,2.49,CMM,46.809,13.553,6.716,6.401,4.727,8.343,5.76,5.789,9.725,9.859,NA,NA
3471,2/16/2016,953,H0002,M,6.48,CMM,55.835,15.217,7.449,8.146,5.779,9.138,6.897,7.652,12.091,11.079,NA,NA
756,11/4/2014,223,H0005,F,1.35,TW,35.683,10.425,5.876,5.032,3.629,5.641,3.321,3.378,7.505,7.014,AS - Remeasured Humerus,RM Set 1
8,2/11/2014,2,H0005,F,0.25,TW,20.363,6.676,4.042,2.937,2.006,NA,NA,NA,3.959,3.614,NA,NA
34,3/4/2014,11,H0005,F,0.34,TW,23.173,7.637,4.915,3.484,2.68,2.88,NA,NA,4.404,3.947,NA,NA
